id,customer_id,loan_type,principal,interest_rate,term_months,outstanding_balance,status,disbursed_at,due_at
1,3864,mortgage,650403.76,5.86,266,636013.15,active,2025-10-27T04:50:45,2047-12-27T04:50:45
2,2321,mortgage,84296.08,5.54,130,74233.34,active,2024-08-07T02:45:15,2035-06-07T02:45:15
3,1591,mortgage,9064091.46,5.45,171,8646986.4,active,2025-06-18T09:28:35,2039-09-18T09:28:35
4,3483,auto,17805.68,4.48,79,17203.49,active,2026-01-29T08:01:58,2032-08-29T08:01:58
5,1709,auto,137112.74,9.9,80,107787.67,active,2024-10-05T19:06:18,2031-06-05T19:06:18
6,156,personal,278212.92,8.36,14,210336.93,active,2025-12-28T03:28:26,2027-02-28T03:28:26
7,2672,mortgage,3304146.95,3.62,287,3212969.18,active,2025-08-14T15:23:57,2049-07-14T15:23:57
8,3577,mortgage,53539059.48,5.68,182,46927564.38,active,2024-03-31T08:13:18,2039-05-31T08:13:18
9,26,personal,6689.73,11.55,29,6654.49,active,2026-05-11T08:55:53,2028-10-11T08:55:53
10,478,personal,22650.78,14,49,21036.43,late,2026-01-02T01:03:56,2030-02-02T01:03:56
11,3917,mortgage,311582.79,4.89,233,216321.79,defaulted,2023-07-13T18:23:36,2042-12-13T18:23:36
12,532,mortgage,82915.1,3.69,175,75268.21,active,2024-09-26T22:12:58,2039-04-26T22:12:58
13,940,mortgage,11258211.12,4.53,294,9190083.97,defaulted,2026-05-08T13:19:43,2050-11-08T13:19:43
14,4157,auto,16019.92,8.3,24,13976.88,active,2026-02-11T23:50:29,2028-02-11T23:50:29
15,1212,student,64784.14,5.19,165,64625.36,late,2026-05-02T06:42:09,2040-02-02T06:42:09
16,3543,personal,1405.36,8.66,32,1333.41,active,2026-03-09T02:44:49,2028-11-09T02:44:49
17,365,student,294092.26,6.61,184,292059.12,active,2026-04-07T13:02:48,2041-08-07T13:02:48
18,580,auto,36806.4,8.81,29,27960.96,late,2025-09-24T01:54:31,2028-02-24T01:54:31
19,4565,mortgage,257278.64,4.31,181,227091,active,2023-11-29T18:08:07,2038-12-29T18:08:07
20,4309,mortgage,8635132.72,3.76,234,6449635.13,defaulted,2026-04-13T14:21:48,2045-10-13T14:21:48
21,2366,personal,48006.62,11.94,51,27663.36,defaulted,2026-01-23T10:40:01,2030-04-23T10:40:01
22,3682,mortgage,441057.28,4.53,330,407577.44,active,2023-11-15T16:19:51,2051-05-15T16:19:51
23,598,mortgage,157078.21,6.94,329,156908.2,active,2026-05-04T22:43:03,2053-10-04T22:43:03
24,2884,business,503718.03,9.05,99,414837.1,late,2024-04-21T03:23:04,2032-07-21T03:23:04
25,2167,personal,34143149.65,15.14,37,10939321.27,active,2024-02-16T06:53:33,2027-03-16T06:53:33
26,2061,personal,7613.1,15.29,22,4672.77,active,2025-08-30T22:37:21,2027-06-30T22:37:21
27,1377,personal,108176.55,9.02,16,76995,defaulted,2025-12-28T05:17:42,2027-04-28T05:17:42
28,1546,personal,11267.94,17.25,49,7561.66,defaulted,2025-03-02T05:26:59,2029-04-02T05:26:59
29,2157,auto,2415099.01,8.65,46,0,paid_off,2022-12-02T13:33:36,2026-10-02T13:33:36
30,2394,personal,34768.16,7.33,43,28049,active,2025-07-21T17:44:25,2029-02-21T17:44:25
31,4025,auto,45123.8,5.69,73,43113.9,active,2026-02-05T20:16:27,2032-03-05T20:16:27
32,751,mortgage,279278.24,3.55,312,276687.65,active,2026-01-31T22:20:53,2052-01-31T22:20:53
33,3582,personal,1202.75,10.98,25,338.96,active,2024-07-22T07:08:56,2026-08-22T07:08:56
34,1037,auto,781583.11,6.79,42,727904.08,active,2026-01-26T23:17:00,2029-07-26T23:17:00
35,1953,student,34662.45,7.41,82,33527.34,active,2026-02-11T05:28:43,2032-12-11T05:28:43
36,2479,student,545351.22,7,137,542100.07,late,2026-04-14T11:34:35,2037-09-14T11:34:35
37,1385,auto,61867.22,8.7,60,45962.43,active,2024-12-14T04:12:33,2029-12-14T04:12:33
38,1359,mortgage,7537877.21,4.59,248,6459637.37,late,2023-04-13T05:20:12,2043-12-13T05:20:12
39,4727,mortgage,108504.8,4.13,327,47353.93,defaulted,2021-12-02T15:46:08,2049-03-02T15:46:08
40,3044,credit_line,97063.11,8.49,27,66327.49,active,2025-07-13T18:42:46,2027-10-13T18:42:46
41,10,mortgage,475879.67,2.63,166,422125.84,active,2024-06-16T11:13:38,2038-04-16T11:13:38
42,4974,business,185439.53,8.82,59,184495.29,late,2026-05-05T18:44:21,2031-04-05T18:44:21
43,1473,mortgage,3660401.92,6.63,197,2949025.69,defaulted,2024-07-04T00:43:15,2040-12-04T00:43:15
44,1483,auto,137102.93,4.5,46,67011.74,active,2024-05-11T01:28:14,2028-03-11T01:28:14
45,2169,auto,1038256.46,5.43,37,920802.08,late,2026-01-03T16:05:39,2029-02-03T16:05:39
46,2269,auto,90211.7,7.65,61,54943.54,active,2023-07-28T09:32:54,2028-08-28T09:32:54
47,4131,personal,1569252.3,14.17,39,1518697.7,active,2026-04-01T17:05:55,2029-07-01T17:05:55
48,484,auto,4465947.25,6.4,57,3129171.72,late,2024-12-02T05:09:25,2029-09-02T05:09:25
49,2986,student,32718.78,7.89,68,26046.41,defaulted,2025-07-10T21:25:01,2031-03-10T21:25:01
50,4614,auto,34122.79,8.51,25,2109.3,active,2021-11-14T14:14:27,2023-12-14T14:14:27
51,2448,personal,3836.6,7.77,41,2205.91,defaulted,2025-09-02T23:43:16,2029-02-02T23:43:16
52,1968,auto,824343.37,4.44,47,766947.24,active,2026-02-04T23:04:07,2030-01-04T23:04:07
53,1492,personal,21067.06,13.52,24,8816.52,active,2024-12-14T16:57:59,2026-12-14T16:57:59
54,4475,business,311426.12,8.62,35,158803.55,active,2024-07-13T20:14:07,2027-06-13T20:14:07
55,2122,mortgage,1770440.58,4.57,294,986670.11,defaulted,2026-02-25T07:07:11,2050-08-25T07:07:11
56,4447,auto,10848.15,8.33,46,2792.05,active,2023-02-03T11:44:21,2026-12-03T11:44:21
57,4304,mortgage,13460291.99,2.7,349,13319207.47,active,2025-12-21T10:26:39,2055-01-21T10:26:39
58,489,personal,4205185.73,12.29,42,2415775.7,active,2024-04-01T23:22:28,2027-10-01T23:22:28
59,4945,mortgage,371387.72,3.13,280,363527.38,active,2025-11-14T18:34:41,2049-03-14T18:34:41
60,1229,personal,37827.25,12.55,47,26564.22,active,2024-10-21T22:14:19,2028-09-21T22:14:19
61,914,personal,796307.95,14.01,59,704901.17,active,2025-10-13T02:45:11,2030-09-13T02:45:11
62,341,student,61665.38,5.61,224,60332.02,active,2025-12-07T17:53:21,2044-08-07T17:53:21
63,723,personal,161719.56,11.86,40,87089.78,late,2024-04-04T20:26:23,2027-08-04T20:26:23
64,1742,mortgage,3707196.35,6.25,124,2957160.75,active,2024-04-04T22:31:33,2034-08-04T22:31:33
65,4643,mortgage,20083458.1,4.68,226,9241562.42,defaulted,2024-07-10T17:02:53,2043-05-10T17:02:53
66,2119,personal,5703.13,13.23,29,4630.45,active,2025-11-21T07:20:23,2028-04-21T07:20:23
67,1589,student,39179.53,6.84,211,34657.18,late,2024-04-22T10:13:02,2041-11-22T10:13:02
68,125,auto,26279.98,4.72,30,10747.61,defaulted,2023-01-17T14:59:34,2025-07-17T14:59:34
69,3523,personal,20097.71,17.58,55,17853.17,active,2025-10-09T05:52:04,2030-05-09T05:52:04
70,1137,student,11178658.65,4.86,115,6646610.32,defaulted,2024-01-03T01:50:34,2033-08-03T01:50:34
71,932,student,42401.91,4.59,136,39893.2,active,2025-07-02T20:21:15,2036-11-02T20:21:15
72,2625,personal,23762.91,9.98,39,4833.44,active,2023-10-02T18:49:33,2027-01-02T18:49:33
73,203,personal,38685.66,6.38,21,0,paid_off,2022-07-23T22:30:19,2024-04-23T22:30:19
74,3188,personal,727542.73,15.8,37,710368.14,active,2026-04-12T03:00:41,2029-05-12T03:00:41
75,2662,personal,2304.86,15.25,53,2302.19,active,2026-05-14T17:57:30,2030-10-14T17:57:30
76,454,mortgage,520399.79,4.86,283,505233.6,active,2025-07-31T19:06:50,2049-03-03T19:06:50
77,638,auto,219439,6.84,66,213085.03,active,2026-02-24T22:29:36,2031-08-24T22:29:36
78,910,personal,885741.38,12.94,41,762838.22,active,2025-10-17T18:42:10,2029-03-17T18:42:10
79,1435,student,34586.51,6.85,121,29598.41,defaulted,2025-09-02T16:10:36,2035-10-02T16:10:36
80,2498,business,248595.05,6.71,48,183516.77,defaulted,2023-12-31T00:54:15,2027-12-31T00:54:15
81,3243,personal,943633.52,14.21,55,284390.12,active,2022-12-20T19:54:24,2027-07-20T19:54:24
82,3563,auto,7798.22,7.71,42,1227.7,active,2022-12-09T23:41:13,2026-06-09T23:41:13
83,4840,student,6890.26,4.14,112,5534.56,active,2023-10-29T06:54:13,2033-03-01T06:54:13
84,2898,auto,14354.53,4.96,55,13389.73,active,2025-12-22T12:53:05,2030-07-22T12:53:05
85,4012,personal,1177187.33,15.05,43,1156423.5,active,2026-04-15T00:12:40,2029-11-15T00:12:40
86,2936,business,108064.56,11.58,39,67993.18,late,2025-02-08T10:06:42,2028-05-08T10:06:42
