id,account_id,card_id,merchant_id,amount,currency,type,status,description,created_at
1,4235,,125,721.59,AUD,purchase,completed,Digital Den Online (JP) (Electronics),2025-11-23T03:31:28
2,7059,5629,346,84,INR,purchase,completed,ProBuilders Supply Express (PL) (Home Improvement),2026-05-05T04:30:05
3,6950,,275,12.15,USD,purchase,failed,Chicken King Express (GB) (Fast Food),2025-12-26T06:38:07
4,3848,,450,240.83,EUR,purchase,completed,Marina Resort Express (ES) (Travel - Hotels),2026-01-12T20:23:25
5,1852,,200,2533.69,PLN,purchase,failed,Aero Express #309 (AE) (Travel - Airlines),2026-03-26T11:39:27
6,6921,,380,189.1,USD,deposit,reversed,Deposit - Inbound payment,2026-04-16T15:59:55
7,5155,4109,443,417.27,USD,purchase,completed,TransAir Downtown (DE) (Travel - Airlines),2025-11-08T23:28:23
8,8569,,337,49.5,EUR,deposit,reversed,Deposit - Inbound payment,2025-09-16T18:47:58
9,7936,,99,4.6,EUR,deposit,completed,Deposit - Salary,2025-06-12T03:52:35
10,8185,,216,40.28,BRL,purchase,completed,BusLink South (JP) (Public Transit),2024-11-30T06:35:39
11,3347,2680,409,3259.61,INR,transfer,completed,Transfer to acct ****6063,2026-05-04T19:22:15
12,8808,,84,2303.54,INR,purchase,completed,BP Central (AE) (Fuel),2026-04-23T19:08:36
13,7877,,126,144.58,CAD,purchase,completed,ToolBox Plaza (MX) (Home Improvement),2026-04-14T15:55:56
14,85,,482,93567.46,KRW,purchase,completed,Olive Branch #740 (AU) (Restaurants),2025-05-30T17:52:03
15,7909,,242,469.09,CAD,purchase,completed,Coursera North (CA) (Education),2025-06-19T23:36:27
16,4469,3569,257,0.92,EUR,purchase,completed,Skillshare Downtown (US) (Education),2025-11-09T10:36:24
17,3305,,237,2934.43,MXN,purchase,completed,Denim & Co Downtown (UA) (Clothing),2026-02-25T00:50:23
18,7288,5825,356,40.23,SGD,purchase,failed,Denim & Co Downtown (PL) (Clothing),2025-05-06T00:27:45
19,3735,,497,158.68,EUR,purchase,completed,NationalGas #434 (CA) (Utilities),2026-05-14T12:41:35
20,9227,,345,303.99,CAD,purchase,completed,BuildMart Online (TR) (Home Improvement),2025-10-25T02:09:06
21,8838,,484,83.92,EUR,purchase,completed,BodyWorks Plaza (BR) (Health/Fitness),2024-07-12T11:41:38
22,9287,7423,250,360.65,BRL,purchase,completed,HomeFix Downtown (ZA) (Home Improvement),2026-04-26T13:45:05
23,5625,,448,6.58,EUR,purchase,completed,CityCab Downtown (CA) (Transport),2025-05-21T15:53:19
24,5510,,220,98.56,GBP,deposit,completed,Deposit - Inbound payment,2026-01-16T10:58:05
25,374,,299,38.56,USD,purchase,completed,T-Mobile North (NL) (Telecom),2025-02-12T12:12:36
26,6812,5433,241,13.03,EUR,transfer,completed,Transfer to acct ****2568,2026-03-17T13:58:47
27,746,,418,0.87,CHF,purchase,completed,HealthPlus Pharmacy Downtown (BR) (Pharmacy),2026-04-16T17:30:56
28,9117,,112,193.84,PLN,deposit,completed,Deposit - Salary,2025-12-17T05:00:10
29,2312,,183,3.32,EUR,purchase,pending,BusLink Plaza (IT) (Public Transit),2026-01-20T16:33:07
30,5904,4693,308,13.19,EUR,purchase,failed,Skillshare #571 (ZA) (Education),2026-01-28T13:41:54
31,3498,,39,654.39,INR,purchase,completed,Espresso Lab #174 (IT) (Coffee Shops),2026-03-20T04:11:05
